id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,revenue_per_year,price_category,occupancy_potential,facilities
27934,Nice room with superb city view,120437,Nuttee,Ratchathewi,13.75983,100.54134,Entire home/apt,1905,3,65,-2012,0,2,353,0,672465,High,32.24,
27979,"Easy going landlord,easy place",120541,Emy,Bang Na,13.66818,100.61674,Private room,1316,1,0,-2012,0,2,358,0,471128,High,98.08,AC
28745,modern-style apartment in Bangkok,123784,Familyroom,Bang Kapi,13.75232,100.62402,Private room,800,60,0,-2012,0,1,365,0,292000,Medium,1.67,
35780,Spacious one bedroom at The Kris Condo Bldg. 3,153730,Sirilak,Din Daeng,13.78823,100.57256,Private room,1286,7,2,2022-04-01 00:00:00,0,1,323,1,415378,High,12.64,AC
941865,Suite Room 3 at MetroPoint,610315,Kasem,Bang Kapi,13.76872,100.63338,Private room,1905,1,0,-2012,0,3,365,0,695325,High,100.0,
1704776,NEw Pro!!  Bungalow,2129668,Wimonpak,Bang Kho laen,13.69757,100.5288,Entire home/apt,1000,250,19,2017-08-03 00:00:00,0,41,365,0,365000,Medium,0.4,Bkk Centre
48736,Condo with Chaopraya,222005,Athitaya,Rat Burana,13.68556,100.49535,Private room,1558,3,1,2014-02-03 00:00:00,0,1,365,0,568670,High,33.33,River View
1738669,1 chic bedroom apartment in BKK,7045870,Jiraporn,Chatu Chak,13.82925,100.56737,Entire home/apt,1461,1,0,-2012,0,1,365,0,533265,High,100.0,
1744248,"Batcave,  view, near Chatuchak",9181769,Nol,Chatu Chak,13.81693,100.56433,Entire home/apt,1558,3,10,2016-03-29 00:00:00,0,1,365,0,568670,High,33.33,Pool
952677,Standard Room Decor do Hostel,5171292,Somsak,Khlong San,13.7204,100.50757,Private room,700,2,4,2019-12-27 00:00:00,0,10,87,0,60900,Medium,11.92,
55681,Sathorn Terrace Apartment(61),263049,Tor,Bang Rak,13.71934,100.5176,Private room,1150,2,27,2019-01-03 00:00:00,0,7,320,0,368000,High,43.84,AC
1765918,2BR apt in a cozy neighborhood,9279712,Jing,Phaya Thai,13.77486,100.54272,Entire home/apt,1893,15,129,2022-09-30 00:00:00,1,1,356,1,673908,High,6.5,
55686,Comfy bedroom near River pier &   Taksin.,263049,Tor,Sathon,13.71802,100.51539,Hotel room,1862,2,208,2019-12-02 00:00:00,1,7,361,0,672182,High,49.45,BTS
59221,budget hotel bangkok near subway,284095,Mimi,Din Daeng,13.77941,100.57383,Entire home/apt,910,2,3,2018-07-30 00:00:00,0,2,365,0,332150,Medium,50.0,Subway
959254,"Deluxe Condo, Nana, /GYM/",5153476,Natcha,Khlong Toei,13.71516,100.56806,Entire home/apt,1400,30,0,-2012,0,1,365,0,511000,High,3.33,"Pool, Gym, Sauna"
62217,Luxury@swimpool/FreeWiFi/nearJJMkt,302658,Srisuk,Phaya Thai,13.79152,100.53982,Private room,4156,1,0,-2012,0,1,365,0,1516940,High,100.0,"FreeWifi, Pool"
1791481,Nice and Quiet condo near  Onnut,9399478,Piyakorn,Khlong Toei,13.70719,100.59936,Entire home/apt,1577,30,78,2019-05-31 00:00:00,1,1,330,0,520410,High,3.01,BTS
105042,Central Bangkok 3 Bedroom Apartment,545890,Henry,Khlong Toei,13.73378,100.56303,Entire home/apt,5680,28,148,2020-01-07 00:00:00,1,1,334,0,1897120,Luxury,3.27,
1793000,The Duplex - Asoke- Luxury 92sqm,9407280,Timo,Vadhana,13.74668,100.56137,Entire home/apt,5034,21,287,2022-11-22 00:00:00,3,1,349,3,1756866,Luxury,4.55,
960858,"New, Stylish & Luxury Studio Condo",3769704,Pat,Sai Mai,13.9077,100.64473,Private room,1500,1,0,-2012,0,1,365,0,547500,High,100.0,
113744,- Ivy Condo (1 Bedroom),578110,Muay,Rat Burana,13.68568,100.49231,Private room,1385,30,0,-2012,0,1,365,0,505525,High,3.33,River View
965722,Siamese Gioia on Sukhumvit 31,5265861,Chuchart,Vadhana,13.74444,100.57003,Private room,3775,30,3,2018-12-24 00:00:00,0,1,364,0,1374100,High,3.32,
1808600,Contemporary Modern Duplex-Thong Lo,9478184,Shine,Khlong Toei,13.72097,100.57823,Entire home/apt,2078,60,83,2018-09-12 00:00:00,1,1,55,0,114290,High,0.25,
